日本語訳,単語1,単語2,単語3,単語4,単語5,単語6,単語7,単語8,単語9,単語10,単語11,単語12,単語13,おとり単語
私たちは地球が丸いことを知っています。,We,know,that,the,earth,is,round,.,,,,,,knowing
私は彼が親切だと思います。,I,think,that,he,is,kind,.,,,,,,,thinking
彼は自分が正しいと信じています。,He,believes,that,he,is,right,.,,,,,,,believing
私たちは病院が楽しい場所ではないと理解しています。,We,understand,that,a,hospital,is,not,a,fun,place,.,,,understanding
彼女は新しい車が欲しいと言っています。,She,says,that,she wants,a,new,car,.,,,,,,wanting
先生は私たちが英語を話せることを知っています。,The,teacher,knows,that,we,can,speak,English,.,,,,,knowing
私は彼女が今日忙しいと思います。,I,think,that,she,is,busy,today,.,,,,,,thinking
彼は私たちが友達であることを知っています。,He,knows,that,we,are,friends,.,,,,,,,knowing
彼女は音楽が好きだと言いました。,She,said,she liked,music,.,,,,,,,,,liking
私はあなたが幸せになることを願っています。,I,hope,you,will be,happy,.,,,,,,,,hoping
私は東京に5年間住んでいます。,I,have,lived,in,Tokyo,for,five,years,.,,,,,living
彼女はすでに宿題を終えました。,She,has,already,finished,her,homework,.,,,,,,,finishing
彼は子どものころからケンを知っています。,He,has,known,Ken,since,childhood,.,,,,,,,knew
私の兄はちょうど外出したところです。,My,brother,has,just,gone,out,.,,,,,,,went
あなたはもう朝食を食べましたか。,Have,you,eaten,breakfast,yet,?,,,,,,,,Has
私はすでに部屋を掃除しました。,I,have,already,cleaned,my,room,.,,,,,,,cleaning
あなたはもう本を読みましたか。,Have,you,read,the,book,yet,?,,,,,,,reading
彼女はちょうど手紙を書き終えました。,She,has,just,written,a,letter,.,,,,,,,writing
私はこれまでにオーストラリアへ行ったことがあります。,I,have,been,to,Australia,before,.,,,,,,,being
彼は昨日からずっとここにいます。,He,has,been,here,since,yesterday,.,,,,,,,being
彼女は3年間京都に住んでいます。,She,has,lived,in,Kyoto,for,three,years,.,,,,,living
私は以前に富士山に登ったことがあります。,I,have,climbed,Mt.,Fuji,before,.,,,,,,,climbing
あなたはこれまでにその映画を見たことがありますか。,Have,you,ever,seen,the,movie,?,,,,,,,seeing
私たちは先週からずっと忙しいです。,We,have,been,busy,since,last,week,.,,,,,,being
彼女はまだ昼食を食べていません。,She,has,not,eaten,lunch,yet,.,,,,,,,eating
フランス語はカナダで話されています。,French,is,spoken,in,Canada,.,,,,,,,,speaking
この本は何年も前に漱石によって書かれました。,This,book,was,written,by,Soseki,many,years,ago,.,,,,writing
美しいランプが部屋に置かれています。,A,beautiful,lamp,is,set,in,the,room,.,,,,,setting
その橋は昨年建てられました。,The,bridge,was,built,last,year,.,,,,,,,building
サッカーは世界中でプレーされています。,Soccer,is,played,all,over,the,world,.,,,,,,playing
この車は日本で作られています。,This,car,is,made,in,Japan,.,,,,,,,making
英語は世界中で話されています。,English,is,spoken,all,over,the,world,.,,,,,,speaking
そのケーキは私の母によって作られました。,The,cake,was,made,by,my,mother,.,,,,,,making
その犬はみんなに愛されています。,The,dog,is,loved,by,everyone,.,,,,,,,loving
この写真は昨日トムによって撮られました。,This,picture,was,taken,by,Tom,yesterday,.,,,,,,taking
この部屋は毎日掃除されます。,This,room,is,cleaned,every,day,.,,,,,,,cleaning
その本は多くの人々に読まれています。,The,book,is,read,by,many,people,.,,,,,,reading
外壁に大きな木の絵が描かれています。,Pictures,of,big,trees,are,drawn,on,the,walls,.,,,,drawing
昨夜、その窓は壊されました。,The,window,was,broken,last,night,.,,,,,,,breaking
その手紙はケンによって書かれました。,The,letter,was,written,by,Ken,.,,,,,,,writing
